ingredient,allergen,category,severity
concentrated pomegranate juice,None,Unknown,Safe
cherries (22%),None,Unknown,Safe
lactose sirop de glucose,None,Unknown,Safe
haselnv-ze (1 h),None,Unknown,Safe
agent de traitement de la farine (e920),None,Unknown,Safe
black cherry,None,Unknown,Safe
rhum 7,None,Unknown,Safe
parnrigiann reggiann,None,Unknown,Safe
tomate 8%,None,Unknown,Safe
freeze dried cherries (1 %),None,Unknown,Safe
fraise 21,None,Unknown,Safe
orange juice form concentr,None,Unknown,Safe
organic date paste,None,Unknown,Safe
natural flavourings including caffeine,None,Unknown,Safe
eau de source de bretagne,None,Unknown,Safe
unhydrogenated palmbutter,None,Unknown,Safe
kiwi 0,None,Unknown,Safe
malto di orzo,None,Unknown,Safe
carragenan),None,Unknown,Safe
and apocarotenal,None,Unknown,Safe
orange and carrot juices from concentrate (filtered water,None,Unknown,Safe
chrom-tll-chlorid,None,Unknown,Safe
sablefish,None,Unknown,Safe
sureau noir),None,Unknown,Safe
5% sukker,None,Unknown,Safe
caramel apple flavor (powdered sugar,None,Unknown,Safe
vong01e condita in unatipica vongole del pacifico con guscio e sgusciate 44%,None,Unknown,Safe
premix vitamin (a,None,Unknown,Safe
and potassiu,None,Unknown,Safe
carottes 13%,None,Unknown,Safe
milk chocolate raisins,None,Unknown,Safe
acid leavener (sodium acid pyrophosphate,None,Unknown,Safe
peonuts,None,Unknown,Safe
dimethyl silicone(for anti-foaming),None,Unknown,Safe
myrtille (2 %),None,Unknown,Safe
colorant (complexes nie) cuivre-chlorophylles et chlorophyllines),None,Unknown,Safe
crevettes penaeus vannamei,None,Unknown,Safe
6 % (viande de canard,None,Unknown,Safe
graines de courge (3%),None,Unknown,Safe
riz (12,None,Unknown,Safe
pyridoxine hcl (vitamin b-6),None,Unknown,Safe
aceites vegetales (aceite de girasol,None,Unknown,Safe
olives vertes (93%),None,Unknown,Safe
habanero pepper puree (water,None,Unknown,Safe
hydrolyzed soy protein and corn gluten,None,Unknown,Safe
elderberry juice concentrate,None,Unknown,Safe
dried acai,None,Unknown,Safe
cooked enriched pasta (semolina,None,Unknown,Safe
brocolis 29%,None,Unknown,Safe
dextrine- tournesol),None,Unknown,Safe
tuna seasoning,None,Unknown,Safe
praprika,None,Unknown,Safe
fibra de agrios,None,Unknown,Safe
noisette 6%,None,Unknown,Safe
less than 2% sea salt,None,Unknown,Safe
1/10 of 1% benzoate of soda,None,Unknown,Safe
kernel and/or palm),None,Unknown,Safe
cocoa processes with alkali,None,Unknown,Safe
sucre (6 %),None,Unknown,Safe
corn tortillas (corn,None,Unknown,Safe
grade a pure raw honey,None,Unknown,Safe
farine de graine de caroube),None,Unknown,Safe
ulei vegetal de floarea soarelui,None,Unknown,Safe
crab spice (water,None,Unknown,Safe
nahrungsfasern (inulin),None,Unknown,Safe
glands,None,Unknown,Safe
ferments lactiques) huile de colza,None,Unknown,Safe
sodium selenite),None,Unknown,Safe
miel 12 %,None,Unknown,Safe
vinaigre',None,Unknown,Safe
palm and hydrogenated palm oil,None,Unknown,Safe
lait entier 37%,None,Unknown,Safe
soy sauce (defatted soybean,None,Unknown,Safe
magnesium sulfate calcium chloride,None,Unknown,Safe
extrait demalt d'orge,None,Unknown,Safe
condiment (sel de mer,None,Unknown,Safe
fruktoza),None,Unknown,Safe
1% (peterselie,None,Unknown,Safe
wheat flour 55%,None,Unknown,Safe
thiamine mononitrae,None,Unknown,Safe
noix de moscade,None,Unknown,Safe
hydrogenated canola,None,Unknown,Safe
7% (lait de noix de coco en poudre 3,None,Unknown,Safe
stir-fried anchovy sauce mixed formulation polyglycitol syrup,None,Unknown,Safe
aroma's en rookaroma (bevat melk),None,Unknown,Safe
bleached- wheat flour,None,Unknown,Safe
viande de porc 15,None,Unknown,Safe
malto dextrines (fibres),None,Unknown,Safe
rouge cochenille,None,Unknown,Safe
pistou 14 % (basilic de provence 46 %,None,Unknown,Safe
chicken meat cooked chicken meat,None,Unknown,Safe
california tomatoes,None,Unknown,Safe
leavening bi(arbonate),None,Unknown,Safe
farce aux tomates 13% (huile d'olive,None,Unknown,Safe
vanillin (an artificial flavor),None,Unknown,Safe
fire roasted corn,None,Unknown,Safe
organic indonesian vanilla beans,None,Unknown,Safe
salade multifeuille verte 4,None,Unknown,Safe
strawberry banana fruit blend (naturally milled cane sugar,None,Unknown,Safe
sultanas 19%,None,Unknown,Safe
lemon powder (corn syrup solids and lemon juice solids),None,Unknown,Safe
jambon cuit standard 19% (jambon de porc,None,Unknown,Safe
uva ursi leaf and berry,None,Unknown,Safe
eau de source (81,None,Unknown,Safe
polyglycerol esters of fatty acids sodium citrate,None,Unknown,Safe
vegetable gum (gum tragacanth,None,Unknown,Safe
ved) 26% anhydride sulfureux puree de tomate,None,Unknown,Safe
chair de crabe (crabe 3,None,Unknown,Safe
fromage fondu 3,None,Unknown,Safe
pepinillos,None,Unknown,Safe
25% raisins secs,None,Unknown,Safe
farine de riz 54%,None,Unknown,Safe
tarwemoutbloem,None,Unknown,Safe
hydrogenated vegetable oil (cottonseed and/or rapeseed),None,Unknown,Safe
fromage fondu 10,None,Unknown,Safe
gomme xanthane e415),None,Unknown,Safe
sauce piquante 7,None,Unknown,Safe
5% vodka),None,Unknown,Safe
copeaux de chocolat noir 0,None,Unknown,Safe
pommes de terre (59%),None,Unknown,Safe
poudre de lait 18 %,None,Unknown,Safe
color added (spirulina,None,Unknown,Safe
live active cultures (l,None,Unknown,Safe
bromeliad,None,Unknown,Safe
poudre de miel (4%),None,Unknown,Safe
potassium sorbate and sodium benzoat (as preservatives),None,Unknown,Safe
salted butter (cream salt),None,Unknown,Safe
leavening agents(ammonium bicarbonate,None,Unknown,Safe
extra heavy puree,None,Unknown,Safe
7%) (viande de porc (ue),None,Unknown,Safe
ricotta),None,Unknown,Safe
calcium disodium edta (preservative) natural flavors),None,Unknown,Safe
petits pois (2/3 extra-fins,None,Unknown,Safe
colza en proportion variable),None,Unknown,Safe
5 mg/22,None,Unknown,Safe
vitamines (b12,None,Unknown,Safe
lievito madre naturale 1%,None,Unknown,Safe
lact,None,Unknown,Safe
roasted and salted squash seeds,None,Unknown,Safe
rye fl,None,Unknown,Safe
sodium bicarbonate and corn starch),None,Unknown,Safe
basilic (8%),None,Unknown,Safe
beurre de homard (beurre,None,Unknown,Safe
200 gramos de fresas,None,Unknown,Safe
farbstoff (e160c),None,Unknown,Safe
multi-seed protein granola clusters (whole grain rolled oats,None,Unknown,Safe
soya beans),None,Unknown,Safe
3% (cheddarorange 4,None,Unknown,Safe
toasted cashews,None,Unknown,Safe
granatapfel 37%,None,Unknown,Safe
mustarr flour,None,Unknown,Safe
vegetable oil (organic sunflower palm),None,Unknown,Safe
hot peppers (peppers,None,Unknown,Safe
concentrate (pear,None,Unknown,Safe
leavening (sodium phosphate,None,Unknown,Safe
apple puree (from concentrate),None,Unknown,Safe
natural cocoa flavor (maltodextrin,None,Unknown,Safe
sirop de sucre inverti graines de s same 2 5%,None,Unknown,Safe
peppers (red,None,Unknown,Safe
peaches (dried peaches,None,Unknown,Safe
organic white cheddar cheese powder (cheddar cheese (organic pasteurized milk,None,Unknown,Safe
2% piment rouge,None,Unknown,Safe
9% (huile de colza,None,Unknown,Safe
algue (agar agar),None,Unknown,Safe
clams (ocean clams and ocean clams juice,None,Unknown,Safe
sucre 8 %,None,Unknown,Safe
vitamini ((vitamin c (l-askorbinska kiselina),None,Unknown,Safe
aromalemon 0,None,Unknown,Safe
cream cheese (cream,None,Unknown,Safe
sucre (66,None,Unknown,Safe
emulsifiant (e322,None,Unknown,Safe
kokosnoot,None,Unknown,Safe
beans (34%) (green bean,None,Unknown,Safe
contains 2 percent or,None,Unknown,Safe
kola,None,Unknown,Safe
nice and spicy flavour (sugar,None,Unknown,Safe
aditivo e407),None,Unknown,Safe
corn o il),None,Unknown,Safe
graisse et viandes de volaille,None,Unknown,Safe
grape juice concentrate red 40,None,Unknown,Safe
lentilles corail 7,None,Unknown,Safe
cocao liquor,None,Unknown,Safe
lall entier 62%,None,Unknown,Safe
4% (fromage,None,Unknown,Safe
pure maple syrup),None,Unknown,Safe
vinegars (apple cider,None,Unknown,Safe
dinatriumphosphat,None,Unknown,Safe
fibres (fructo-oligosaccharide,None,Unknown,Safe
green bell pepper,None,Unknown,Safe
caramel sauce (brown sugar,None,Unknown,Safe
cultured organic grade a milk,None,Unknown,Safe
arima,None,Unknown,Safe
ham (fresh ham,None,Unknown,Safe
raisins bio 21 % (raisins bio,None,Unknown,Safe
saumon (poisson) 70,None,Unknown,Safe
yogurt coating mix (sugar,None,Unknown,Safe
cabillaud 51%,None,Unknown,Safe
langue de porc cuite 8 %,None,Unknown,Safe
water bourbon,None,Unknown,Safe
apple flavor,None,Unknown,Safe
fumo di legna,None,Unknown,Safe
margarine (palm and rapeseed oil,None,Unknown,Safe
oignons 13,None,Unknown,Safe
chicken fat (nonfat dry milk),None,Unknown,Safe
eersil,None,Unknown,Safe
dried cherries (red tart cherries,None,Unknown,Safe
seafood seasoning (salt,None,Unknown,Safe
naturally fermented lactic acid,None,Unknown,Safe
butter (sweet cream salt,None,Unknown,Safe
quelques graines de lin moulues (0,None,Unknown,Safe
olives noires 87%,None,Unknown,Safe
organic jalapenos,None,Unknown,Safe
white wine powder (maltodextrin,None,Unknown,Safe
namnl vanilla ering),None,Unknown,Safe
thiamine hydrochloride tartaric acid,None,Unknown,Safe
fair trade organic olive oil,None,Unknown,Safe
natural kiwi flavor,None,Unknown,Safe
pea pods,None,Unknown,Safe
pimientos (diced red peppers,None,Unknown,Safe
water and baking soda),None,Unknown,Safe
andouille - pork,None,Unknown,Safe
pasta di cacao 5,None,Unknown,Safe
cocoa processed wi,None,Unknown,Safe
mango juice 48% (from puree),None,Unknown,Safe
4 % (romarin,None,Unknown,Safe
fromage blanc (lait)),None,Unknown,Safe
whole clams,None,Unknown,Safe
pretzel (enriched wheat flou,None,Unknown,Safe
estratto di malto in polvere(malto di frumento,None,Unknown,Safe
carbonate acide d'anunonium,None,Unknown,Safe
peeled garlic,None,Unknown,Safe
citroenschil,None,Unknown,Safe
(rice,None,Unknown,Safe
veg mono and diglycerides,None,Unknown,Safe
syrup (beet sugar),None,Unknown,Safe
soy-bean oil,None,Unknown,Safe
emulgator (sojalecithine),None,Unknown,Safe
butteraroma,None,Unknown,Safe
vermicelli(pea,None,Unknown,Safe
vanilla liqueur,None,Unknown,Safe
double cream,None,Unknown,Safe
crevette 34% (crevette,None,Unknown,Safe
bourbon whiskey,None,Unknown,Safe
vidalia onions 7%,None,Unknown,Safe
3% - tomates 24,None,Unknown,Safe
soy isolate),None,Unknown,Safe
rice from camargue i i sugar,None,Unknown,Safe
5 % (viande de poulet 17 %,None,Unknown,Safe
sesame and/or soy protein),None,Unknown,Safe
cocoa (proc,None,Unknown,Safe
spices (cont,None,Unknown,Safe
candle nut,None,Unknown,Safe
sel (4,None,Unknown,Safe
corn syrup modified starch (tapioca),None,Unknown,Safe
harina de teft,None,Unknown,Safe
vegetables (21 %) (peas,None,Unknown,Safe
minced artichokes 86%,None,Unknown,Safe
og tapioca,None,Unknown,Safe
partially hydrogenated soybean and cottonsee,None,Unknown,Safe
tomato concentrate (made from fresh ripe tomatoes),None,Unknown,Safe
potassium sorbate and calcium disodi,None,Unknown,Safe
oat bran (oats),None,Unknown,Safe
pasturized milk,None,Unknown,Safe
grains de cacaos 9 %,None,Unknown,Safe
not from concentrate 100% juice (apple juice,None,Unknown,Safe
pasteurized milk cheese cultrue,None,Unknown,Safe
witte p,None,Unknown,Safe
guar and cellulose and xanthan and locust bean gums,None,Unknown,Safe
getrocknete mangos (carabao mango),None,Unknown,Safe
lemon juice from concentrate apple cider vinegar,None,Unknown,Safe
nutmug,None,Unknown,Safe
contains 2% or less of arabic gum,None,Unknown,Safe
wild strawberry leaf,None,Unknown,Safe
persill beurre (lait),None,Unknown,Safe
arom,None,Unknown,Safe
poivre noir (10%),None,Unknown,Safe
pour la fabrication de pain,None,Unknown,Safe
noisettes moulues 10%,None,Unknown,Safe
cinnamon caramel swirl (cane sugar,None,Unknown,Safe
conservant (sorbat de potasiu),None,Unknown,Safe
pastry cream powder (sugar,None,Unknown,Safe
raising agent (disodium diphosphate),None,Unknown,Safe
invert sugar caramel color,None,Unknown,Safe
assorted vegetables (celery,None,Unknown,Safe
rhubarbes 28,None,Unknown,Safe
vegetable oil (sunflower corn),None,Unknown,Safe
sirop de sucre inverti 4%,None,Unknown,Safe
citric acid less than 1% of natural flavor (m,None,Unknown,Safe
dairy butter (milk),None,Unknown,Safe
patate douce,None,Unknown,Safe
bananen- und nektarinenmark,None,Unknown,Safe
impastata cheese (whole milk,None,Unknown,Safe
powdered cocoa beans,None,Unknown,Safe
jus de cassis 17%,None,Unknown,Safe
) garlic powder,None,Unknown,Safe
noix 13% (bulgarie),None,Unknown,Safe
wheat flour bleached enriched (wheat flour,None,Unknown,Safe
organic sweetcorn,None,Unknown,Safe
aromer,None,Unknown,Safe
haricot du nord,None,Unknown,Safe
organic 100% whole grain spelt flour,None,Unknown,Safe
riz basmati 35% (eau,None,Unknown,Safe
7g dont sucres 37,None,Unknown,Safe
sind in fottschrlft aufgefuhft,None,Unknown,Safe
hydrolysed vegetable protein (soya),None,Unknown,Safe
patata (65%),None,Unknown,Safe
poblano,None,Unknown,Safe
riboflavin and folic a,None,Unknown,Safe
7% (olive,None,Unknown,Safe
natural flavor (with soybean oil),None,Unknown,Safe
aromates 11% (citron,None,Unknown,Safe
9 % beurre,None,Unknown,Safe
milk chocolate 29% (sugar,None,Unknown,Safe
and phosphoric acid,None,Unknown,Safe
hydrogenated palm kernel 011,None,Unknown,Safe
enriched wheat farina (farina,None,Unknown,Safe
guanylate disodique et inosinate disodique,None,Unknown,Safe
robust flavor maple syrup,None,Unknown,Safe
noisettes (22%),None,Unknown,Safe
kaliumnitrat,None,Unknown,Safe
tomates cerises 18%,None,Unknown,Safe
sucres issus de fruits bio,None,Unknown,Safe
sucre de fleur de c amandes moulues (6%),None,Unknown,Safe
tack blend (maltodextrain,None,Unknown,Safe
agent de levage (bicarbonate d'ammonium,None,Unknown,Safe
carrot palm oil sugar dextraine,None,Unknown,Safe
agent farine de riz),None,Unknown,Safe
coloring (beet powder,None,Unknown,Safe
superfino arborio rice,None,Unknown,Safe
fibre di cereali (orzo,None,Unknown,Safe
fermented soybean past (water,None,Unknown,Safe
made with organic asparagus,None,Unknown,Safe
organic lemons organic apple juice,None,Unknown,Safe
gluten de frigo,None,Unknown,Safe
salt microbial enzymes),None,Unknown,Safe
antioxidant e300,None,Unknown,Safe
-l '2 glucose,None,Unknown,Safe
apricots (contains sulfates),None,Unknown,Safe
bih,None,Unknown,Safe
leavening (ammonium bicarbonate,None,Unknown,Safe
brocolis 0%' carottes 7'3%' haricots verts 5 cham ignons noirs poivrons rouges 4,None,Unknown,Safe
pomme de terre,None,Unknown,Safe
pommes de terre (62%),None,Unknown,Safe
vitamin a palmitte,None,Unknown,Safe
datum,None,Unknown,Safe
erdbeeren 8%,None,Unknown,Safe
diacetyl tartaric acid esters of mono and diglycerides,None,Unknown,Safe
natural bacon flavor,None,Unknown,Safe
gerstenmaizextrakt,None,Unknown,Safe
seasoned with sea salt,None,Unknown,Safe
extract of lemon,None,Unknown,Safe
pommes 9,None,Unknown,Safe
hydrogenated vegetable oil (corn,None,Unknown,Safe
pommes de terre (27 %),None,Unknown,Safe
color (titanium dioxide,None,Unknown,Safe
shellfish),None,Unknown,Safe
marigold petals,None,Unknown,Safe
86% riz,None,Unknown,Safe
reifungskulturen,None,Unknown,Safe
natural butter flavor,None,Unknown,Safe
colorant (el 20),None,Unknown,Safe
cane ca,None,Unknown,Safe
viande bovine (france) 12%,None,Unknown,Safe
seasoning (yest extract,None,Unknown,Safe
lait 98 % sel 1,None,Unknown,Safe
suungsmittel (erythrit,None,Unknown,Safe
api,None,Unknown,Safe
yeas,None,Unknown,Safe
hysope (15%),None,Unknown,Safe
filet mignon de porc 26% (filet mignon de porc,None,Unknown,Safe
0033%,None,Unknown,Safe
monosodium glutamate (less than 4%),None,Unknown,Safe
chips de banane 5,None,Unknown,Safe
chia flour,None,Unknown,Safe
green chili and spices (cumin,None,Unknown,Safe
haricot lingot,None,Unknown,Safe
tomate en poudre 13%,None,Unknown,Safe
monterey jack cheese (cultured pasteurized milk,None,Unknown,Safe
potassium sorbate (preservative) salt,None,Unknown,Safe
glucides 24 dont sucres (ta q),None,Unknown,Safe
kwas cytynowy),None,Unknown,Safe
red tart cherries (evaporated cane juice,None,Unknown,Safe
stannous chloride,None,Unknown,Safe
monosodium glutamate lime juice concentrate,None,Unknown,Safe
linguinipasta 41% (vatten,None,Unknown,Safe
spices dehydrated onion,None,Unknown,Safe
fructooligossacharides,None,Unknown,Safe
rice bra,None,Unknown,Safe
cricket flour (acheta domesticus) cocoa nibs,None,Unknown,Safe
powered cellulose),None,Unknown,Safe
wild nori seaweed,None,Unknown,Safe
jus de maracudja,None,Unknown,Safe
courgettet,None,Unknown,Safe
oignons) 53,None,Unknown,Safe
vegetable oil (palm and palm kernel),None,Unknown,Safe
eggs(frozen),None,Unknown,Safe
romano cheese solids from cow's milk (pasteurized milk,None,Unknown,Safe
tribasic,None,Unknown,Safe
graisse d'oie (11,None,Unknown,Safe
emodificeerd zetmeel,None,Unknown,Safe
